Expansion Reference,Hatchery,Release Site,Migr. Year,Hatch. Release,Total PIT Release,PIT Release RAL,RAL Expansion,Row,PTAGIS RelSite,Random
2006KNOXB1,McCall,SFSR-Knox,2006,"1,094,264","51,895","34,489",31.2,2,KNOXB,1
2007KNOXB1,McCall,SFSR-Knox,2007,"1,087,170","51,726","34,534",31.0,3,KNOXB,1
2008KNOXB1,McCall,SFSR-Knox,2008,"1,060,540","51,678","36,239",28.8,4,KNOXB,1
2006RAPH1,Rapid River,Rapid R. Hat,2006,"2,530,528","96,975","34,537",71.5,5,RAPH,1
2007RAPH1,Rapid River,Rapid R. Hat,2007,"2,396,602","109,675","34,731",66.8,6,RAPH,1
2008RAPH1,Rapid River,Rapid R. Hat,2008,"2,493,719","117,587","102,074",24.3,7,RAPH,1
2006DWORNF1,Dworshak,NF-DHFH,2006,"1,007,738","92,548","34,490",27.5,8,DWORNF,1
2007DWORNF1,Dworshak,NF-DHFH,2007,"963,211","104,193","31,174",28.6,9,DWORNF,1
2008DWORNF1,Dworshak,NF-DHFH,2008,"939,000","49,384","34,729",26.6,10,DWORNF,1
2006POWP1,Clearwater Hat.,Powell,2006,"423,633","14,967","13,470",31.3,11,POWP,1
2007POWP1,Clearwater Hat.,Powell,2007,"373,977","14,971","13,474",27.6,12,POWP,1
2008POWP1,Clearwater Hat.,Powell,2008,"223,714","33,741","31,341",7.1,13,POWP,1
2006REDP1,Clearwater Hat.,Red,2006,"423,603","14,973","13,476",31.3,14,REDP,1
2007REDP1,Clearwater Hat.,Red,2007,"375,759","14,978","13,480",27.8,15,REDP,1
2008REDP1,Clearwater Hat.,Red,2008,"424,719","11,985","10,805",39.2,16,REDP,1
2006CROOKR1,Clearwater Hat.,Crooked,2006,"608,472","14,978","13,480",45.0,17,CROOKR,1
2007CROOKR1,Clearwater Hat.,Crooked,2007,"517,092","14,969","13,472",38.3,18,CROOKR,1
2008CROTRP1,Clearwater Hat.,Crooked,2008,"566,752","11,987","10,789",52.4,19,CROTRP,1
2006SELWY11,Clearwater Hat.,Selway,2006,"209,842",0,0,0.0,20,SELWY1,1
2007SELWY11,Clearwater Hat.,Selway,2007,"179,432",0,0,0.0,21,SELWY1,1
2008SELWY11,Clearwater Hat.,Selway,2008,"205,659","8,974","8,095",25.3,22,SELWY1,1
2007SAWT1,Sawtooth,Weir,2007,"995,262","14,970","13,473",73.8,23,SAWT,1
2008SAWT1,Sawtooth,Weir,2008,"174,132","14,961","13,466",12.8,24,SAWT,1
2008PAHP1,Pahsimeroi,Ponds,2008,"1,037,772",14833,13350,77.6,25,PAHP,1
2006KOOS1,Kooskia,Clear Cr,2006,"630,000",800,0,0.0,26,KOOS,1
2007KOOS1,Kooskia,Clear Cr,2007,"569,565","9,943","9,892",57.6,27,KOOS,1
2008KOOS1,Kooskia,Clear Cr,2008,"649,601","9,935","9,900",65.6,28,KOOS,1
2006SAWT1,Sawtooth,Weir,2006,"1,552,444",500,0,0.0,29,SAWT,1
